LDNA (nm)	j (index)	j stdev	Force (pN)	fstdev
2.280000E+3	2.299265E+3	7.898570E+0	1.418112E+1	2.072454E-1
2.281000E+3	2.299866E+3	6.902879E+0	1.419043E+1	1.797067E-1
2.282000E+3	2.300333E+3	6.196593E+0	1.420341E+1	1.599466E-1
2.283000E+3	2.300716E+3	5.717910E+0	1.421868E+1	1.464352E-1
2.284000E+3	2.301047E+3	5.406390E+0	1.423539E+1	1.376204E-1
2.285000E+3	2.301347E+3	5.210044E+0	1.425298E+1	1.321170E-1
2.286000E+3	2.301629E+3	5.088506E+0	1.427111E+1	1.288124E-1
2.287000E+3	2.301900E+3	5.012843E+0	1.428957E+1	1.268872E-1
2.288000E+3	2.302165E+3	4.963540E+0	1.430825E+1	1.257757E-1
2.289000E+3	2.302427E+3	4.928081E+0	1.432707E+1	1.251079E-1
2.290000E+3	2.302685E+3	4.898858E+0	1.434601E+1	1.246528E-1
2.291000E+3	2.302941E+3	4.871697E+0	1.436505E+1	1.242768E-1
2.292000E+3	2.303195E+3	4.844955E+0	1.438417E+1	1.239164E-1
2.293000E+3	2.303447E+3	4.819156E+0	1.440340E+1	1.235642E-1
2.294000E+3	2.303698E+3	4.797167E+0	1.442271E+1	1.232690E-1
2.295000E+3	2.303947E+3	4.785058E+0	1.444210E+1	1.231504E-1
2.296000E+3	2.304196E+3	4.793972E+0	1.446155E+1	1.234362E-1
2.297000E+3	2.304447E+3	4.843653E+0	1.448098E+1	1.245346E-1
2.298000E+3	2.304707E+3	4.968591E+0	1.450029E+1	1.271641E-1
2.299000E+3	2.304984E+3	5.227770E+0	1.451925E+1	1.325688E-1
2.300000E+3	2.305298E+3	5.717862E+0	1.453741E+1	1.428318E-1
2.301000E+3	2.305686E+3	6.587020E+0	1.455395E+1	1.612408E-1
2.302000E+3	2.306219E+3	8.045115E+0	1.456719E+1	1.925867E-1
2.303000E+3	2.307043E+3	1.037022E+1	1.457385E+1	2.432941E-1
2.304000E+3	2.308449E+3	1.390847E+1	1.456730E+1	3.212959E-1
